Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun,kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten,kemendagri_nama_kabupaten,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,Tahun ,"produksi
","Produksi
",province,production,productivity,harvest_area,year,﻿38 Provinsi,Unnamed: 1,Unnamed: 2,Unnamed: 3,id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,komoditas,produksi,satuan,tahun,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_padi,kode_kecamatan,nama_kecamatan,produktivitas_komoditas,Provinsi,Year,Yield.Areal(ha),Productivity(kw/ha),Production.(ton)
Pandanarum,833.0,4498.0,54.0,0.0,0.0,0.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susukan,2476.0,16806.0,68.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwareja Klampok,1568.0,11426.0,73.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandiraja,3362.0,26543.0,79.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purwanegara,2366.0,18452.0,78.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawang,2202.0,14812.0,67.0,16.0,91.0,58.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarnegara,697.0,4758.0,68.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagedongan,340.0,2332.0,69.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigaluh,364.0,2716.0,75.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madukara,1016.0,6678.0,66.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banjarmangu,1115.0,6678.0,60.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanadadi,1635.0,11998.0,73.0,4.0,20.0,53.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakit,1528.0,10828.0,71.0,2.0,9.0,53.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punggelan,1861.0,12678.0,68.0,0.0,0.0,0.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
